filename,width,height,class,xmin,ymin,xmax,ymax
00439549_jpg.rf.61d9da936957271d14cdf6105edb1614.jpg,416,416,bus,8,27,372,373
00000358_jpg.rf.62bf4bb92479738437ec5ddf65806418.jpg,416,416,car,56,52,324,386
4107_jpg.rf.626a2d69c202e1772e558a41938ac443.jpg,416,416,bus,141,93,275,277
4107_jpg.rf.626a2d69c202e1772e558a41938ac443.jpg,416,416,car,289,62,306,84
00000423_jpg.rf.633fc02756d7e24ec8b6cd6a31991813.jpg,416,416,car,56,80,373,353
00000657_jpg.rf.636c86ddb6999d2936fb3f260c209dd4.jpg,416,416,car,58,80,382,340
4202_jpg.rf.62fffffa67762e9a310ca2662d1878f0.jpg,416,416,bus,56,11,365,387
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,truck,263,292,307,408
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,car,192,293,227,348
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,truck,255,196,278,268
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,container,231,184,245,233
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,truck,204,193,218,227
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,container,215,179,227,197
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,container,161,174,182,189
2034_jpg.rf.63591de832f153cf8d357c2c1d10c0ff.jpg,416,416,truck,389,235,415,277
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,truck,132,226,189,383
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,container,240,209,313,330
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,truck,228,206,240,228
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,container,215,182,229,212
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,car,145,212,161,228
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,truck,159,193,170,205
1233_jpg.rf.62baf1062ee19029be29d79854ed6551.jpg,416,416,truck,181,182,190,198
00000438_jpg.rf.61d458aed2b8d17097bd23d94d64031b.jpg,416,416,car,60,59,330,370
00011357_jpg.rf.61d077599504c9f30c49021d7dec4124.jpg,416,416,truck,20,19,415,411
4028_jpg.rf.623ee63c36074c1a66d49505d242674c.jpg,416,416,truck,60,145,111,247
4028_jpg.rf.623ee63c36074c1a66d49505d242674c.jpg,416,416,truck,137,183,231,342
